0.0488301140,-0.0127059680,0.0499827667
0.0378268763,-0.0081189035,0.0301944660
0.0518977743,-0.0137248387,0.0694553182
0.0705293580,-0.0208817423,0.1168670999
0.0325079949,-0.0080846492,0.0371651550
0.0489411183,-0.0130721611,0.0589661498
0.0752337135,-0.0116159593,-0.0176895673
0.0384475402,-0.0061256584,-0.0312659031
0.0451161510,-0.0110594045,0.0488684233
0.0537938506,-0.0097363317,0.0068516412
0.0506618917,-0.0091965396,0.0059429894
0.0650578101,-0.0171995990,0.0901606589
0.0647445440,-0.0153998544,0.0835567461
0.0669379224,-0.0176236257,0.0920571014
0.0680025028,-0.0182295728,0.0966502047
0.0393075890,-0.0057004270,-0.0377729654
0.0492976261,-0.0144118301,0.0717372871
0.0703039554,-0.0163124525,0.0551137242
0.0637970264,-0.0146422279,0.0697288476
0.0707948269,-0.0141206782,0.0351397913
0.0705293580,-0.0208817423,0.1168670999
0.0292624140,-0.0064621829,0.0136679025
0.0720146742,-0.0180975966,0.0635330772
0.0568137035,-0.0110310088,0.0101303882
0.0086989392,0.0018728650,-0.0517890132
0.0249015362,0.0043613780,-0.1264436059
0.0261938460,0.0065296840,-0.1287844695
0.0286524941,0.0048208686,-0.1297680919
-0.0657738667,-0.0626416600,0.0070873197
-0.1161912423,-0.2860023043,-0.0081022654
-0.1278129040,-0.0043792746,0.0300191812
-0.1808989713,0.0211290235,0.0290602694
-0.1670644787,0.0312942473,0.0273371061
-0.1171009114,0.0393984211,0.0321282688
-0.1500228509,0.0566576533,0.0086905610
-0.1450512458,0.0323161217,0.0379613023
-0.1522223370,0.0531080252,0.0329008076
-0.1379623944,0.0552142560,0.0211838498
-0.1248911888,0.0426745608,0.0316444280
-0.1289253521,0.0466964991,0.0339639727
-0.1259916218,0.0448754989,0.0216465426
-0.1562672960,0.0594533881,0.0278796642
-0.1377437665,0.0388063098,0.0346261865
-0.1359504258,0.0503559345,0.0304634805
-0.1385643134,0.0507350808,0.0307864862
-0.1330254798,0.0497251556,0.0255663281
-0.0969814778,0.0332323026,0.0661396428
0.0177327823,0.0055857849,-0.0976319882
-0.0248150328,0.0103946238,0.0017667561
-0.0911588892,0.0313474901,0.0123969119
-0.1485048942,0.0510176627,0.0327090900
-0.1400372695,0.0537820302,0.0203680091
-0.0925791838,0.0331831605,0.0156663964
0.0273729171,0.0046390525,-0.1066067912
0.0271344816,0.0048286172,-0.1237130843
-0.1027783620,0.0381160719,0.0120614974
-0.0926554756,0.0354280857,0.0091086842
-0.0867551531,0.0332458210,0.0082178108
-0.0766243824,0.0311283933,-0.0050854703
-0.1541618518,0.0571897236,0.0213976199
-0.1298097610,0.0366444132,0.0084588257
-0.1190029135,0.0523542203,-0.0318029327
-0.1033083939,0.0413241883,0.0115337474
